libName	subtype.pam50	subtype.pam50_proba_Basal	subtype.pam50_proba_Her2	subtype.pam50_proba_LumA	subtype.pam50_proba_LumB	subtype.pam50_proba_Normal
TCGA.3C.AALJ.01A.31R.A41B.07	LumB	0	0.291223404255319	0	0.708776595744681	0
TCGA.BH.A0BM.01A.11R.A056.07	LumA	0	0	0.606516381559872	0	0.393483618440128
TCGA.AO.A0JD.01A.11R.A056.07	LumB	0.168944876261949	0.0738854641293666	0	0.757169659608684	0
TCGA.A2.A25B.01A.11R.A169.07	LumB	0	0.398638056045463	0	0.601361943954537	0
TCGA.AR.A0TW.01A.11R.A084.07	LumB	0	0.221662868952361	0.325102008372635	0.453235122675004	0
TCGA.B6.A0RM.01A.11R.A084.07	LumB	0	0	0.43420613742495	0.56579386257505	0
TCGA.A7.A6VV.01A.22R.A33J.07	Basal	0.987715158245419	0	0	0	0.0122848417545808
TCGA.A1.A0SH.01A.11R.A084.07	LumA	0	0	0.642689424726813	0	0.357310575273187
TCGA.A2.A3XX.01A.21R.A239.07	Basal	0.994843342036554	0.00515665796344648	0	0	0
TCGA.BH.A1EN.01A.11R.A13Q.07	Her2	0	0.5991956395195	0.0085198708789755	0.392284489601524	0
TCGA.A2.A3XW.01A.11R.A239.07	Normal	0	0	0.47755578619616	0	0.52244421380384
TCGA.B6.A0WT.01A.11R.A109.07	LumA	0	0	0.72811901861841	0.27188098138159	0
TCGA.EW.A1PC.01B.11R.A21T.07	LumB	0.0884737967482955	0.422277806914915	0	0.489248396336789	0
TCGA.A2.A3XT.01A.11R.A22U.07	Basal	0.827824935283848	0.0579736319306484	0	0.114201432785504	0
TCGA.BH.A1FB.01A.11R.A13Q.07	LumA	0	0	0.577620375807399	0	0.422379624192601
TCGA.D8.A1Y3.01A.11R.A157.07	LumB	0.0706309877766766	0.378658738024447	0	0.550710274198877	0
TCGA.BH.A0HF.01A.11R.A056.07	LumA	0	0	0.690812874121627	0.19562765680576	0.113559469072612
TCGA.A2.A3XV.01A.21R.A239.07	Her2	0	0.758688837399482	0	0.241311162600518	0
TCGA.A2.A1G0.01A.11R.A13Q.07	LumA	0	0	0.642652872403062	0	0.357347127596938
TCGA.BH.A1FJ.01A.11R.A13Q.07	LumB	0	0.333690581263397	0	0.666309418736603	0
TCGA.AR.A0U3.01A.11R.A109.07	LumB	0	0.0375247917493058	0.151923839746132	0.810551368504562	0
TCGA.D8.A1XD.01A.11R.A14D.07	LumA	0	0	0.886333849636602	0.0682711783629215	0.0453949720004766
TCGA.AR.A24Z.01A.11R.A169.07	LumB	0	0.0668623096446701	0	0.93313769035533	0
TCGA.LL.A73Y.01A.11R.A33J.07	Basal	0.713525999140524	0	0	0	0.286474000859476
TCGA.D8.A1XT.01A.11R.A14M.07	Her2	0	0.717487633965375	0	0.282512366034625	0
TCGA.EW.A1P5.01A.11R.A144.07	LumB	0	0	0.425420342933245	0.574579657066756	0
TCGA.EW.A1OY.01A.11R.A144.07	LumB	0	0	0	1	0
TCGA.B6.A0RL.01A.11R.A084.07	LumB	0	0.271911804984936	0	0.728088195015064	0
TCGA.S3.A6ZH.01A.22R.A32P.07	LumB	0	0.144752186588921	0	0.855247813411079	0
TCGA.EW.A1J1.01A.11R.A13Q.07	LumA	0	0	0.546896792189679	0.453103207810321	0
TCGA.BH.A6R8.01A.21R.A33J.07	LumA	0	0.088821925670828	0.497297555842541	0.413880518486631	0
TCGA.AR.A24P.01A.11R.A169.07	LumA	0	0	0.62799815498155	0.37200184501845	0
TCGA.A2.A1FW.01A.11R.A13Q.07	LumB	0	0.186313005849828	0.0832598765926757	0.730427117557497	0
TCGA.EW.A2FS.01A.11R.A17B.07	LumA	0	0	0.520432541179429	0.476172513516912	0.003394945303659
TCGA.BH.A0B8.01A.21R.A056.07	LumA	0	0	0.623071324599709	0.376928675400291	0
TCGA.AR.A1AS.01A.11R.A12P.07	LumB	0	0.258499963906735	0.135494116797806	0.60600591929546	0
TCGA.B6.A0WW.01A.11R.A109.07	LumB	0	0.178735784184078	0.226871198095742	0.59439301772018	0
TCGA.E2.A109.01A.11R.A10J.07	LumB	0	0.380990340429523	0	0.619009659570477	0
TCGA.BH.A0BJ.01A.11R.A056.07	LumA	0	0	0.780811849841701	0	0.219188150158299
TCGA.LL.A7T0.01A.31R.A352.07	LumB	0	0.303880553952683	0	0.696119446047317	0
TCGA.GM.A2DL.01A.11R.A18M.07	LumB	0	0.498629886737304	0	0.501370113262696	0
TCGA.AC.A62X.01A.11R.A29R.07	Basal	0.865529905561385	0	0	0	0.134470094438615
TCGA.AN.A0XN.01A.21R.A109.07	LumB	0	0.367713757769192	0.203762808667899	0.428523433562909	0
TCGA.OL.A6VR.01A.32R.A33J.07	LumA	0	0	0.613853823269277	0	0.386146176730723
TCGA.E2.A574.01A.11R.A29R.07	Basal	0.760090264345584	0	0	0	0.239909735654417
TCGA.AC.A5EH.01A.11R.A28M.07	Her2	0	0.52796746719865	0.0416634696539553	0.430369063147395	0
TCGA.A7.A4SE.01A.11R.A266.07	Basal	1	0	0	0	0
TCGA.AR.A0TR.01A.11R.A084.07	LumA	0	0	0.62796442687747	0.37203557312253	0
TCGA.E9.A226.01A.21R.A157.07	LumB	0	0.297843900738072	0.0272563491602255	0.674899750101703	0
TCGA.B6.A0WY.01A.11R.A109.07	LumA	0	0	0.565439465965409	0	0.434560534034591
TCGA.D8.A27H.01A.11R.A16F.07	Basal	0.89622458857696	0.0171022910616328	0	0	0.0866731203614069
TCGA.A2.A0T2.01A.11R.A084.07	Basal	0.765524492825334	0	0	0	0.234475507174666
TCGA.AN.A0XP.01A.11R.A109.07	LumA	0	0	0.707128231379575	0.292871768620425	0
TCGA.A2.A0SU.01A.11R.A084.07	LumA	0	0	0.822848360655738	0	0.177151639344262
TCGA.E9.A1RF.01A.11R.A157.07	LumB	0	0.161147458480121	0.346552591847006	0.492299949672874	0
TCGA.A2.A1G6.01A.11R.A13Q.07	LumA	0	0	0.513197177364636	0	0.486802822635364
TCGA.A2.A0YH.01A.11R.A109.07	LumB	0	0.231458373328214	0.0483138158315736	0.720227810840212	0
TCGA.LL.A740.01A.21R.A32P.07	Her2	0	0.754902863456404	0.18276401804622	0.0623331184973759	0
TCGA.B6.A0RO.01A.22R.A084.07	LumA	0	0	0.735542845969595	0.0278144400449724	0.236642713985433
