Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
TCGA-A2-A259-01A-11R-A16F-07,0.175878405901132,0.00786432387854512,0.0242918766990492,0.0648568360227626,0,0.304845960551875,0.0403889264114283,0.0630079641274861,0.0803432626381682,0,0.0342282871389139,0,0.061624366259993,0.104503492538907,0.107344623390337,0.114621544265947,0.069759537737799,0.0744004107721166,0.422210538071823,0,0.00313211508593829,0.0119903178639031,0,0.583221897439781,0.833338259418032,1.76529278935612
TCGA-E2-A1IO-01A-11R-A144-07,0.19430619877005,0,0.0714225587163202,0.23586677780225,0,0.421763387537299,0.0228463334862825,0.117428736909958,0.115679214536684,0,0.00234066487374536,0,0.0279182121202591,0.157771597013513,0.173631507716447,0.14262959604221,0.0416665312174647,0,0.163672332521009,0,0,0,0.004,0.428581282420872,0.902704409771505,1.88894364926349
TCGA-A1-A0SN-01A-11R-A144-07,0.0346539766599094,0,0.0616236796888613,0.198411396124407,0,0.44073830043382,0.0230981046922875,0.0921173917059344,0.058001815241769,0,0,0.0121444561407615,0,0.125923361840979,0.138350803526782,0.22619915801661,0.0414845333912567,0.0163492399338205,0.0901688194025673,0,0,0.00566015338440054,0,0.780566771294215,0.708027612263572,1.56492519018417
TCGA-S3-AA11-01A-31R-A41B-07,0.049086221656109,0,0.0673273825282135,0.0303613190052837,0,0.0787668813790841,0,0.0377775573808784,0.039156037745723,0,0.0107398052217832,0.00171854528054613,0,0.24618711565234,0.0551174582258362,0.148651416577531,0,0.00281857927444261,0.162598417277494,0,0,0,0,0.693276611582405,0.766611960185763,0.930306737205265
TCGA-D8-A1XL-01A-11R-A14M-07,0.119298410492193,0,0.118323908226227,0.326514297547645,0,0.235444927553292,0.0879614672540509,0.23150421339049,0.16366198527794,0.0780802485552194,0,0.0166855308117908,0.0555909046537377,0.0798597590023145,0.243483425398381,0.373472002499968,0.0331047490331119,0,0.0656038485322735,0,0,0.000872134671746964,0.002,0.458224861025158,0.888127353339306,2.22946181290038
TCGA-B6-A1KI-01A-11R-A14M-07,0.0571354036084041,0,0.0524313613794951,0.0326810836330309,0,0.10349633717901,0.00579839174740006,0.0482327156628732,0.0163612927197381,0.00607822917971081,0.0119646798994782,0,0,0.119178515928869,0.0560829122060844,0.107981597708952,0.00510264497849912,0,0.0756760903614001,0,0,0.00882051499396022,0,0.626252422779933,0.810103251509383,0.707021771186905
TCGA-3C-AALJ-01A-31R-A41B-07,0.0835655973131327,0,0.068340026077776,0.2661210856699,0,0.178324930173223,0.061888351658266,0.0790738651864338,0.144661893247335,0,0.011678707371784,0,0,0.337605912006037,0.134844430531388,0.233917889709579,0.0161790190853456,0,0.0341410445526228,0,0,0,0,0.581443698384805,0.824425184196234,1.65034275258282
TCGA-BH-A0BM-01A-11R-A056-07,0.108894187750796,0,0.0632198422606783,0.0865816843277907,0,0.250818816821523,0,0.100667385303613,0.0498488526615027,0.017228925499237,0,0.0372781204015836,0.00813354877313248,0.0575296716028951,0.0601780426573507,0.152506464121627,0.0166662599192707,0.0122917415881814,0.0839481988462799,0,0,0.00732983637547818,0.00800000000000001,0.347154827355671,0.940360325005606,1.11312157891094
TCGA-AO-A0JD-01A-11R-A056-07,0.0496543281948818,0,0.0203408644073065,0.105107691965765,0,0.195881873664186,0.0291864912604131,0.0963000438572241,0.0384918392075825,0.0129867624636405,0,0.00664644972894135,0.00521214771969065,0.10704288767815,0.138794809191361,0.195724125505461,0.0803576744729708,0,0.0692263676469968,0,0.010990498867798,0.00664906625380076,0,0.597760305870285,0.820771089373895,1.16859392208617
TCGA-A2-A25B-01A-11R-A169-07,0.0635316976554567,0,0.0419192307274883,0.0655759688785919,0,0.387968636120883,0.0351609592738155,0.0689867862839142,0.0376747107709456,0,0.0216418540755619,0,0.00782708791391031,0.171895556588907,0.106710270777278,0.26532513024143,0.0122690860233638,0.0131768718950974,0.0387289712146877,0.00657976032072867,0.00645665737587254,0.0265033047286497,0.01,0.339498615963599,0.94376695850973,1.37793254086658
